Periodo,Indice general,Indice subyacente,Indice subyacente - Mercancias,Indice subyacente - Servicios,Indice no subyacente,Indice no subyacente - Agropecuarios,Indice no subyacente - Energéticos y tarifas autorizadas por el gobierno  
1998/09,37.32737639,40.5658206,39.8738611,40.73254866,28.47759272,32.20754703,25.48817476
1998/10,37.86226893,41.1343247,40.60919844,41.08776059,28.9113618,32.69313232,25.88038964
1998/11,38.53278623,41.60478732,41.10719633,41.51672062,29.94033156,33.57309474,27.02733714
1998/12,39.47297432,42.25498013,41.69878853,42.2276181,31.40179429,35.2324277,28.33024719
1999/01,40.46977028,43.27157521,42.88816233,43.01616411,32.29608432,36.62538249,28.82682033
1999/02,41.01364281,44.06277201,43.66910902,43.80664799,32.3100012,36.06770704,29.29592505
1999/03,41.39468378,44.75777025,44.28737653,44.58374709,32.03795974,35.08318263,29.59146288
1999/04,41.77457661,45.29381746,44.83150177,45.10096144,32.08067628,35.00408844,29.73115693
1999/05,42.02587708,45.73296389,45.30323607,45.49295742,31.93977672,35.23051583,29.29782443
1999/06,42.3020062,46.08844922,45.67368872,45.82421474,32.03979967,35.25429284,29.45850037
1999/07,42.58157977,46.39267115,45.87473869,46.24937099,32.25207253,35.44128874,29.69076128
1999/08,42.82125526,46.74351643,46.19447792,46.63234363,32.25397781,35.22811814,29.86394457
1999/09,43.23501839,47.31303125,46.49508756,47.52079552,32.32945203,35.01802353,30.16678593
1999/10,43.50885123,47.65320567,46.89970969,47.77655867,32.45280289,34.77148663,30.5846208
1999/11,43.89577645,47.95593135,47.25661562,48.00804094,32.98407739,34.7616964,31.54642667
1999/12,44.33551639,48.34313257,47.57985495,48.46689423,33.50144621,35.32078848,32.03022317
2000/01,44.93083012,48.96916973,48.13455996,49.1695914,33.99719827,35.65667632,32.65295491
2000/02,45.32938031,49.50796824,48.65139396,49.72620743,34.08959866,35.24114148,33.14979637
2000/03,45.58068078,49.82817068,49.00016377,50.00615979,34.18691959,35.02297907,33.49829278
2000/04,45.84001827,50.08998318,49.23528655,50.29619431,34.42507496,35.3438542,33.67041394
2000/05,46.01137907,50.30909671,49.46195803,50.50241116,34.48985099,35.87027913,33.3675049
2000/06,46.28392024,50.4779762,49.57190746,50.74044798,34.95291866,36.63333403,33.59136365
2000/07,46.46446621,50.6457676,49.681201,50.97688698,35.14737647,36.73732545,33.85773611
2000/08,46.71978519,50.85746847,49.87665818,51.20488841,35.47418714,36.94411128,34.27991245
2000/09,47.0610716,51.24920861,50.04912044,51.85792021,35.6927462,36.91620562,34.69460195
2000/10,47.38513583,51.51716252,50.22522122,52.23358929,36.10873043,37.20647229,35.21042583
2000/11,47.79028786,51.84465233,50.53286918,52.57983807,36.64403785,37.21651295,36.16368097
2000/12,48.30767118,52.1366899,50.76384784,52.94157345,37.58005416,38.87736967,36.52183376
2001/01,48.57547625,52.52422312,51.15439153,53.31894771,37.59113356,38.39859802,36.92300687
2001/02,48.54332816,52.92034684,51.54154344,53.71940493,36.70264911,35.90580442,37.31273387
2001/03,48.85088778,53.23714275,51.78919342,54.11536267,36.97222297,36.41731835,37.38945478
2001/04,49.09730863,53.49359714,52.02641927,54.391015,37.18290026,37.16523729,37.17215007
2001/05,49.20997046,53.68653179,52.18291411,54.62523326,37.12790841,37.56827104,36.75243857
2001/06,49.32636377,53.85885106,52.33613878,54.81799406,37.12477553,37.49494062,36.80521076
2001/07,49.19820196,53.94192198,52.29411194,55.05248011,36.58158959,37.16257595,36.09449629
2001/08,49.48968755,54.12178318,52.38702523,55.33553825,37.07801663,38.64347205,35.8065936
2001/09,49.95038115,54.53140545,52.5029158,56.09709702,37.61221772,39.36546108,36.19089006
2001/10,50.17613537,54.66885326,52.60442639,56.27614257,38.00042677,39.82339567,36.52331292
2001/11,50.36514891,54.79950724,52.69808131,56.44980495,38.29427354,39.49342849,37.31374827
2001/12,50.43489879,54.93075962,52.74636399,56.68020795,38.23642293,39.40355183,37.28144074
2002/01,50.90047201,55.20476503,52.85373652,57.15316936,39.05670619,40.48279893,37.89494635
